Country,Code,Year,Years
Afghanistan,AFG,2020,5.69
Africa,,2020,6.6818657
Albania,ALB,2020,10.32
Algeria,DZA,2020,8.18
Argentina,ARG,2020,9.86
Armenia,ARM,2020,10.54
Asia,,2020,8.571011
Australia,AUS,2020,12.93
Austria,AUT,2020,10.39
Bahrain,BHR,2020,8.21
Bangladesh,BGD,2020,7.23
Barbados,BRB,2020,9.67
Belgium,BEL,2020,11.57
Belize,BLZ,2020,10.71
Benin,BEN,2020,6.27
Bolivia,BOL,2020,9.06
Botswana,BWA,2020,10.58
Brazil,BRA,2020,8
Brunei,BRN,2020,9.28
Bulgaria,BGR,2020,10.75
Burundi,BDI,2020,5.05
Cambodia,KHM,2020,5.81
Cameroon,CMR,2020,7.37
Canada,CAN,2020,12.93
Central African Rep.,CAF,2020,4.64
Chile,CHL,2020,10.74
China,CHN,2020,8.99
Colombia,COL,2020,10.2
Costa Rica,CRI,2020,9.12
Cote d'Ivoire,CIV,2020,6.05
Congo,COG,2020, 6.74
Croatia,HRV,2020,12.03
Cuba,CUB,2020,11.61
Cyprus,CYP,2020,12.42
Czechia,CZE,2020,12.93
Dem. Rep. Congo,COD,2020,4.85
Denmark,DNK,2020,11.69
Dominican Republic,DOM,2020,9.04
Ecuador,ECU,2020,9.07
Egypt,EGY,2020,8.01
El Salvador,SLV,2020,8.1
Estonia,EST,2020,12.29
Eswatini,SWZ,2020,6.46
Europe,,2020,11.9022875
Fiji,FJI,2020,11.52
Finland,FIN,2020,11.05
France,FRA,2020,11.89
Gabon,GAB,2020,10.18
Gambia,GMB,2020,4.92
Germany,DEU,2020,13.1
Ghana,GHA,2020,8.39
Greece,GRC,2020,11.86
Guatemala,GTM,2020,6.26
Guyana,GUY,2020,8.52
Haiti,HTI,2020,5.95
Honduras,HND,2020,7.51
Hong Kong,HKG,2020,12.83
Hungary,HUN,2020,11.96
Iceland,ISL,2020,13.53
India,IND,2020,7.8
Indonesia,IDN,2020,9.06
Iran,IRN,2020,9.8
Iraq,IRQ,2020,8.27
Ireland,IRL,2020,13.74
Israel,ISR,2020,12.04
Italy,ITA,2020,11.51
Jamaica,JAM,2020,10.1
Japan,JPN,2020,12.83
Jordan,JOR,2020,10.81
Kazakhstan,KAZ,2020,11.79
Kenya,KEN,2020,6.73
Kuwait,KWT,2020,6.62
Kyrgyzstan,KGZ,2020,11.18
Laos,LAO,2020,6.05
Latvia,LVA,2020,11.96
Lesotho,LSO,2020,6.88
Liberia,LBR,2020,5.8
Libya,LBY,2020,9.57
Lithuania,LTU,2020,12.5
Luxembourg,LUX,2020,11.53
Macao,MAC,2020,10.97
Malawi,MWI,2020,5.41
Malaysia,MYS,2020,11.96
Maldives,MDV,2020,8.06
Mali,MLI,2020,3.55
Malta,MLT,2020,12.09
Mauritania,MRT,2020,5.55
Mauritius,MUS,2020,10.4
Mexico,MEX,2020,10.18
Moldova,MDA,2020,10.84
Mongolia,MNG,2020,10
Morocco,MAR,2020,6.83
Mozambique,MOZ,2020,4.22
Myanmar,MMR,2020,6.48
Namibia,NAM,2020,6.88
Nepal,NPL,2020,6.19
Netherlands,NLD,2020,11.82
New Zealand,NZL,2020,10.81
Nicaragua,NIC,2020,7.76
Niger,NER,2020,3.04
North America,,2020,11.858304
Norway,NOR,2020,12.08
Oceania,,2020,10.736105
Pakistan,PAK,2020,6.41
Panama,PAN,2020,10.44
Papua New Guinea,PNG,2020,4.84
Paraguay,PRY,2020,8.83
Peru,PER,2020,9.96
Philippines,PHL,2020,9.44
Poland,POL,2020,12.01
Portugal,PRT,2020,9.56
Qatar,QAT,2020,8.52
Reunion,REU,2020,8.71
Romania,ROU,2020,11.28
Russia,RUS,2020,11.6
Rwanda,RWA,2020,5.24
Saudi Arabia,SAU,2020,9.86
Senegal,SEN,2020,4.4
Serbia,SRB,2020,11.72
Sierra Leone,SLE,2020,4.99
Singapore,SGP,2020,13.06
Slovakia,SVK,2020,13.14
Slovenia,SVN,2020,12.06
South Africa,ZAF,2020,10.47
South America,,2020,8.909957
South Korea,KOR,2020,13.68
Spain,ESP,2020,11.51
Sri Lanka,LKA,2020,10.33
Sudan,SDN,2020,4.38
Sweden,SWE,2020,11.93
Switzerland,CHE,2020,12.97
Syria,SYR,2020,7.92
Taiwan,TWN,2020,12.76
Tajikistan,TJK,2020,10.12
Tanzania,TZA,2020,6.87
Thailand,THA,2020,9.32
Togo,TGO,2020,7.68
Tonga,TON,2020,11.42
Trinidad and Tobago,TTO,2020,11.28
Tunisia,TUN,2020,9.29
Turkey,TUR,2020,8.49
Uganda,UGA,2020,6.69
Ukraine,UKR,2020,10.82
United Arab Emirates,ARE,2020,9.57
United Kingdom,GBR,2020,12.9
United States of America,USA,2020,13.32
Uruguay,URY,2020,8.76
Venezuela,VEN,2020,9.33
Vietnam,VNM,2020,8.35
World,OWID_WRL,2020,8.840671
Yemen,YEM,2020,5.56
Zambia,ZMB,2020,8.37
Zimbabwe,ZWE,2020,8.32
Greenland,GRL,2020,10.88
Suriname,SUR,2020,8
French Guiana,GUF,2020,8
Western Sahara,ESH,2020,5
Guinea,GIN,2020,3
Burkina Faso,BFA,2020,2
Nigeria,NGA,2020,7
Chad,TCD,2020,3
Angola,AGO,2020,6
S. Sudan,SSD,2020,1
Ethiopia,ETH,2020,5
Somalia,SOM,2020,1
Madagascar,MDG,2020,6
Comoros,COM,2020,6
Oman,OMN,2020,10
Uzbekistan,UZB,2020,12
Turkmenistan,TKM,2020,11
Eritrea,ERI,2020,4
Solomon Islands,SLB,2020,6
Vanuatu,VUT,2020,7
New Caledonia,NCL,2020,11
Puerto Rico,PRO,2020,12
Saint Lucia,LCA,2020,9
Grenada,GRD,2020,9
